Hour,Demand (kW),Solar PV (kW),Grid Import (kW),Grid Export (kW),Battery Charge from Grid (kW),Battery Charge from Solar (kW),Battery Discharge (kW),Battery SoC (kWh)
0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
2,10.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0
3,10.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0
4,10.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0
5,10.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0
6,36.0,0.0,0.0,0.0,0.0,0.0,36.0,60.0
7,36.0,20.0,0.0,0.0,0.0,0.0,16.0,96.0
8,36.0,50.0,0.0,0.0,0.0,14.0,0.0,112.0
9,36.0,80.0,0.0,0.0,0.0,44.0,0.0,98.0
10,20.0,80.0,0.0,46.0,0.0,14.0,0.0,54.0
11,20.0,60.0,0.0,0.0,0.0,40.0,0.0,40.0
12,18.0,40.0,0.0,22.0,0.0,0.0,-0.0,0.0
13,18.0,20.0,0.0,2.0,0.0,0.0,-0.0,0.0
14,45.0,0.0,37.25,0.0,0.0,0.0,7.75,0.0
15,45.0,0.0,37.25,0.0,0.0,0.0,7.75,7.75
16,50.0,0.0,37.25,0.0,0.0,0.0,12.75,15.5
17,50.0,0.0,37.25,0.0,0.0,0.0,12.75,28.25
18,77.0,0.0,37.25,0.0,0.0,0.0,39.75,41.0
19,77.0,0.0,37.25,0.0,0.0,0.0,39.75,80.75
20,77.0,0.0,37.25,0.0,0.0,0.0,39.75,120.5
21,77.0,0.0,37.25,0.0,0.0,0.0,39.75,160.25
22,20.0,0.0,37.25,0.0,0.0,17.25,0.0,200.0
23,20.0,0.0,37.25,0.0,0.0,17.25,0.0,182.75
24,10.0,0.0,37.25,0.0,0.0,27.25,0.0,165.5
25,10.0,0.0,37.25,0.0,0.0,27.25,0.0,138.25
26,10.0,0.0,31.0,0.0,0.0,21.0,0.0,111.0
27,10.0,0.0,0.0,0.0,0.0,0.0,10.0,90.0
28,10.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0
29,10.0,0.0,0.0,0.0,0.0,0.0,10.0,110.0
30,36.0,0.0,0.0,0.0,0.0,0.0,36.0,120.0
31,36.0,20.0,0.0,0.0,0.0,0.0,16.0,156.0
32,36.0,50.0,0.0,0.0,0.0,14.0,0.0,172.0
33,36.0,80.0,0.0,0.0,0.0,44.0,0.0,158.0
34,20.0,80.0,0.0,10.0,0.0,50.0,0.0,114.0
35,20.0,60.0,0.0,0.0,0.0,40.0,0.0,64.0
36,18.0,40.0,0.0,0.0,0.0,22.0,0.0,24.0
37,18.0,20.0,0.0,0.0,0.0,2.0,0.0,2.0
38,45.0,0.0,37.25,0.0,0.0,0.0,7.75,0.0
39,45.0,0.0,37.25,0.0,0.0,0.0,7.75,7.75
40,50.0,0.0,37.25,0.0,0.0,0.0,12.75,15.5
41,50.0,0.0,37.25,0.0,0.0,0.0,12.75,28.25
42,77.0,0.0,37.25,0.0,0.0,0.0,39.75,41.0
43,77.0,0.0,37.25,0.0,0.0,0.0,39.75,80.75
44,77.0,0.0,37.25,0.0,0.0,0.0,39.75,120.5
45,77.0,0.0,37.25,0.0,0.0,0.0,39.75,160.25
46,20.0,0.0,37.25,0.0,0.0,17.25,0.0,200.0
47,20.0,0.0,37.25,0.0,0.0,17.25,0.0,182.75
48,10.0,0.0,37.25,0.0,0.0,27.25,0.0,165.5
49,10.0,0.0,37.25,0.0,0.0,27.25,0.0,138.25
50,10.0,0.0,31.0,0.0,0.0,21.0,0.0,111.0
51,10.0,0.0,0.0,0.0,0.0,0.0,10.0,90.0
52,10.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0
53,10.0,0.0,0.0,0.0,0.0,0.0,10.0,110.0
54,36.0,0.0,0.0,0.0,0.0,0.0,36.0,120.0
55,36.0,20.0,0.0,0.0,0.0,0.0,16.0,156.0
56,36.0,50.0,0.0,0.0,0.0,14.0,0.0,172.0
57,36.0,80.0,0.0,0.0,0.0,44.0,0.0,158.0
58,20.0,80.0,0.0,10.0,0.0,50.0,0.0,114.0
59,20.0,60.0,0.0,0.0,0.0,40.0,0.0,64.0
60,18.0,40.0,0.0,0.0,0.0,22.0,0.0,24.0
61,18.0,20.0,0.0,0.0,0.0,2.0,0.0,2.0
62,45.0,0.0,37.25,0.0,0.0,0.0,7.75,0.0
63,45.0,0.0,37.25,0.0,0.0,0.0,7.75,7.75
64,50.0,0.0,37.25,0.0,0.0,0.0,12.75,15.5
65,50.0,0.0,37.25,0.0,0.0,0.0,12.75,28.25
66,77.0,0.0,37.25,0.0,0.0,0.0,39.75,41.0
67,77.0,0.0,37.25,0.0,0.0,0.0,39.75,80.75
68,77.0,0.0,37.25,0.0,0.0,0.0,39.75,120.5
69,77.0,0.0,37.25,0.0,0.0,0.0,39.75,160.25
