Hour,Day1_2025-02-01,Day2_2025-02-02,Day3_2025-02-03,Day4_2025-02-04,Day5_2025-02-05,Day6_2025-02-06,Day7_2025-02-07,Day8_2025-02-08,Day9_2025-02-09,Day10_2025-02-10,Day11_2025-02-11,Day12_2025-02-12,Day13_2025-02-13,Day14_2025-02-14,Day15_2025-02-15,Day16_2025-02-16,Day17_2025-02-17,Day18_2025-02-18,Day19_2025-02-19,Day20_2025-02-20,Day21_2025-02-21,Day22_2025-02-22,Day23_2025-02-23,Day24_2025-02-24,Day25_2025-02-25,Day26_2025-02-26,Day27_2025-02-27,Day28_2025-02-28
0,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027
1,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027
2,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027
3,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027
4,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027
5,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027
6,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027,36.689,36.689,44.027,44.027,44.027,44.027,44.027
7,36.689,36.689,144.311,144.311,144.311,144.311,144.311,36.689,36.689,144.311,144.311,144.311,144.311,144.311,36.689,36.689,144.311,144.311,144.311,144.311,144.311,36.689,36.689,144.311,144.311,144.311,144.311,144.311
8,36.689,36.689,217.69,217.69,217.69,217.69,217.69,36.689,36.689,217.69,217.69,217.69,217.69,217.69,36.689,36.689,217.69,217.69,217.69,217.69,217.69,36.689,36.689,217.69,217.69,217.69,217.69,217.69
9,36.689,36.689,217.69,217.69,217.69,217.69,217.69,36.689,22.014,203.014,217.69,203.014,203.014,203.014,36.689,22.014,217.69,217.69,203.014,217.69,217.69,22.014,22.014,203.014,203.014,203.014,203.014,203.014
